Compound,Character,OSHAPEL
Acetaldehyde C2H4O,spice fruit suffocating herb herb,200
AceticAcid C2H4O2,spice acid,10
Acetic Anhydride C4H6O3,acid acid,5
Acetone C3H6O,sweet fruit etherous,1000
Acetonitrile C2H3N,etherish,40
Acetophenone C8H8O,sweet almond spice fruits river water,
Acetylene C2H2,solvent garlic,
Acrolein C3H4O,spice,0.1
AcrylicAcid C3H4O2,rancid plastic sweet,
Acrylonitrile C3H3N,onion garlic,2
Allyl Alcohol C3H6O,mustard,2
Allyl Chloride C3H5CI,spice,1
Allyl Isothiocyanate C4H5NS,irritating,
Ammonia NH3,spice irritating,50
n-Amyl Acetate C7H14O2,fruit etherous,100
Aniline C6H7N,spice solvent empyreumatic,5
Arsine AsH3,garlic,0.05
Benzaldehyde C7H6O,bitter almond fruit vanilla,
Benzene C6H6,aromatic sweet solvent empyreumatic,1
Benzoyl Chloride C7H5ClO,spice,
Benzyl Acetate C9H10O2,fruits plastic etherous anise,
Benzyl Chloride C7H7CI,spice,1
Biphenyl C12H10, solvent,0.2
Boron Triﬂuoride BF3,spice,1
Bromine Br,alliaceous irritating irritating,0.1
Bromoform CHBr3,chloroform sweet suffocating,0.5
13-Butadiene C4H6,aromatic rubber,15
Butane C4H10,herb,
Butenes C4H8,solvent,
2-Butoxyethanol C6H14O2,sweet ester musty,50
2-Butoxyethyl Acetate C8H16O3,fruit,
n-Butyl Acetate C6H12O2,sweet fruit,150
sec-Butyl Acetate C6H12O2,fruit,200
tert-Butyl Acetate C6H12O2,,200
n-Butyl Acrylate C7H12O2,sweet rancid plastic,
n-Butyl Alcohol C4H10O,sweet malty alcohol medicinal,100
sec-Butyl Alcohol C4H10O,sweet malty alcohol,150
tert-Butyl Alcohol C4H10O,sweet alcohol,100
n-Butylamine C4H11N,acid ammonia,5
n-Butyl Lactate C7H14O3,,
Butyl Mercaptan C4H10S,,10
p-tert-Butyl Toluene C11H16,solvent,10
Butyraldehyde C4H8O,spice,
Camphor synthetic C10H16O,camphorous,0.321
Caprolactam C6H11NO,,
Carbon Dioxide CO2,,5000
Carbon Disulﬁde CS2,vegetable sulﬁde medicinal,2030
